lineup,rating
Luka/Reaves/Vanderbilt/Sandro/Kessler,14.01
Luka/Reaves/Grimes/Sandro/Kessler,12.91
Luka/Grimes/Thiero/Sandro/Kessler,13.0
Luka/Reaves/Grimes/LaRavia/Kessler,11.64
Reaves/Sexton/LaRavia/Vanderbilt/Kessler,10.55
Reaves/Grimes/LaRavia/Sandro/Looney,10.75
Luka/Grimes/LaRavia/Vanderbilt/Looney,11.09
Luka/Reaves/Grimes/Thiero/Kessler,9.0
Luka/Reaves/Grimes/Sandro/Looney,11.1
Luka/Reaves/Thiero/Sandro/Kessler,11.56
Luka/Reaves/Grimes/Vanderbilt/Sandro,10.48
Luka/Reaves/LaRavia/Vanderbilt/Sandro,10.13
Luka/Reaves/Sexton/Vanderbilt/Sandro,9.23
Reaves/Sexton/Grimes/Sandro/Looney,9.13
Reaves/Grimes/LaRavia/Sandro/Kessler,7.07
Reaves/Sexton/Grimes/Vanderbilt/Looney,6.05
Reaves/Sexton/LaRavia/Vanderbilt/Looney,2.51
Reaves/Sexton/Grimes/LaRavia/Looney,2.8
Luka/Reaves/Ziaire/Vanderbilt/Sandro,7.59
Reaves/Sexton/Ziaire/Vanderbilt/Looney,1.5
Reaves/Grimes/Ziaire/Sandro/Looney,4.37
Luka/Grimes/Ziaire/Vanderbilt/Looney,4.07
